省级	地市级	区划代码	地名	区划级别	省会	批注
吉	辽源市	220400	辽源市	地市级		
吉		220402	龙山区	县区		
吉		220403	西安区	县区		
吉		220421	东丰县	县区		
吉		220422	东辽县	县区		
吉	通化市	220500	通化市	地市级		
吉		220502	东昌区	县区		
吉		220503	二道江区	县区		
吉		220521	通化县	县区		
吉		220523	辉南县	县区		
吉		220524	柳河县	县区		
吉		220581	梅河口市	县区		
吉		220582	集安市	县区		
吉	白山市	220600	白山市	地市级		
吉		220602	浑江区	县区		
吉		220605	江源区	县区		
吉		220621	抚松县	县区		
吉		220622	靖宇县	县区		
吉		220623	长白朝鲜族自治县	县区		
吉		220681	临江市	县区		
吉	松原市	220700	松原市	地市级		
吉		220702	宁江区	县区		
吉		220721	前郭尔罗斯蒙古族自治县	县区		
吉		220722	长岭县	县区		
吉		220723	乾安县	县区		
吉		220781	扶余市	县区		
吉	白城市	220800	白城市	地市级		
吉		220802	洮北区	县区		
吉		220821	镇赉县	县区		
吉		220822	通榆县	县区		
吉		220881	洮南市	县区		
吉		220882	大安市	县区		
吉	延边朝鲜族自治州	222400	延边朝鲜族自治州	地市级		
吉		222401	延吉市	县区		
吉		222402	图们市	县区		
吉		222403	敦化市	县区		
吉		222404	珲春市	县区		
吉		222405	龙井市	县区		
吉		222406	和龙市	县区		
吉		222424	汪清县	县区		
吉		222426	安图县	县区		
黑		230000	黑龙江省	省级		
黑	哈尔滨市	230100	哈尔滨市	副省级	√	
黑		230102	道里区	县区		
黑		230103	南岗区	县区		
黑		230104	道外区	县区		
黑		230108	平房区	县区		
黑		230109	松北区	县区		
黑		230110	香坊区	县区		
黑		230111	呼兰区	县区		
黑		230112	阿城区	县区		
黑		230113	双城区	县区		
黑		230123	依兰县	县区		
黑		230124	方正县	县区		
黑		230125	宾县	县区		
黑		230126	巴彦县	县区		
黑		230127	木兰县	县区		
黑		230128	通河县	县区		
黑		230129	延寿县	县区		
黑		230183	尚志市	县区		
黑		230184	五常市	县区		
黑	齐齐哈尔市	230200	齐齐哈尔市	地市级		
黑		230202	龙沙区	县区		
黑		230203	建华区	县区		
黑		230204	铁锋区	县区		
黑		230205	昂昂溪区	县区		
黑		230206	富拉尔基区	县区		
黑		230207	碾子山区	县区		
黑		230208	梅里斯达斡尔族区	县区		
黑		230221	龙江县	县区		
黑		230223	依安县	县区		
黑		230224	泰来县	县区		
黑		230225	甘南县	县区		
黑		230227	富裕县	县区		
黑		230229	克山县	县区		
黑		230230	克东县	县区		
黑		230231	拜泉县	县区		
黑		230281	讷河市	县区		
黑	鸡西市	230300	鸡西市	地市级		
黑		230302	鸡冠区	县区		
黑		230303	恒山区	县区		
黑		230304	滴道区	县区		
黑		230305	梨树区	县区		
黑		230306	城子河区	县区		
黑		230307	麻山区	县区		
黑		230321	鸡东县	县区		
黑		230381	虎林市	县区		
黑		230382	密山市	县区		
黑	鹤岗市	230400	鹤岗市	地市级		
黑		230402	向阳区	县区		
黑		230403	工农区	县区		
黑		230404	南山区	县区		
黑		230405	兴安区	县区		
黑		230406	东山区	县区		
黑		230407	兴山区	县区		
黑		230421	萝北县	县区		
黑		230422	绥滨县	县区		
黑	双鸭山市	230500	双鸭山市	地市级		
黑		230502	尖山区	县区		
黑		230503	岭东区	县区		
黑		230505	四方台区	县区		
黑		230506	宝山区	县区		
黑		230521	集贤县	县区		
黑		230522	友谊县	县区		
黑		230523	宝清县	县区		
黑		230524	饶河县	县区		
黑	大庆市	230600	大庆市	地市级		
黑		230602	萨尔图区	县区		
黑		230603	龙凤区	县区		
黑		230604	让胡路区	县区		
黑		230605	红岗区	县区		
黑		230606	大同区	县区		
黑		230621	肇州县	县区		
黑		230622	肇源县	县区		
黑		230623	林甸县	县区		
黑		230624	杜尔伯特蒙古族自治县	县区		
黑	伊春市	230700	伊春市	地市级		
黑		230717	伊美区	县区		
黑		230718	乌翠区	县区		
黑		230719	友好区	县区		
黑		230722	嘉荫县	县区		
黑		230723	汤旺县	县区		
黑		230724	丰林县	县区		
黑		230725	大箐山县	县区		
黑		230726	南岔县	县区		
黑		230751	金林区	县区		
黑		230781	铁力市	县区		
黑	佳木斯市	230800	佳木斯市	地市级		
黑		230803	向阳区	县区		
黑		230804	前进区	县区		
黑		230805	东风区	县区		
黑		230811	郊区	县区		
黑		230822	桦南县	县区		
黑		230826	桦川县	县区		
黑		230828	汤原县	县区		
黑		230881	同江市	县区		
黑		230882	富锦市	县区		
黑		230883	抚远市	县区		
黑	七台河市	230900	七台河市	地市级		
黑		230902	新兴区	县区		
黑		230903	桃山区	县区		
黑		230904	茄子河区	县区		
黑		230921	勃利县	县区		
黑	牡丹江市	231000	牡丹江市	地市级		
黑		231002	东安区	县区		
黑		231003	阳明区	县区		
黑		231004	爱民区	县区		
黑		231005	西安区	县区		
黑		231025	林口县	县区		
黑		231081	绥芬河市	县区		
黑		231083	海林市	县区		
黑		231084	宁安市	县区		
黑		231085	穆棱市	县区		
黑		231086	东宁市	县区		
黑	黑河市	231100	黑河市	地市级		
黑		231102	爱辉区	县区		
黑		231123	逊克县	县区		
黑		231124	孙吴县	县区		
黑		231181	北安市	县区		
黑		231182	五大连池市	县区		
黑		231183	嫩江市	县区		
黑	绥化市	231200	绥化市	地市级		
黑		231202	北林区	县区		
黑		231221	望奎县	县区		
黑		231222	兰西县	县区		
黑		231223	青冈县	县区		
黑		231224	庆安县	县区		
黑		231225	明水县	县区		
黑		231226	绥棱县	县区		
黑		231281	安达市	县区		
黑		231282	肇东市	县区		
黑		231283	海伦市	县区		
黑	大兴安岭地区	232700	大兴安岭地区	地市级		
黑		232701	漠河市	县区		
黑		232721	呼玛县	县区		
黑		232722	塔河县	县区		
沪		310000	上海市	省级		
沪		310101	黄浦区	县区	√	
沪		310104	徐汇区	县区		
沪		310105	长宁区	县区		
沪		310106	静安区	县区		
沪		310107	普陀区	县区		
沪		310109	虹口区	县区		
沪		310110	杨浦区	县区		
沪		310112	闵行区	县区		
沪		310113	宝山区	县区		
沪		310114	嘉定区	县区		
沪		310115	浦东新区	县区		
沪		310116	金山区	县区		
沪		310117	松江区	县区		
沪		310118	青浦区	县区		
沪		310120	奉贤区	县区		
沪		310151	崇明区	县区		
苏		320000	江苏省	省级		
苏	南京市	320100	南京市	副省级	√	
苏		320102	玄武区	县区		
苏		320104	秦淮区	县区		
苏		320105	建邺区	县区		
苏		320106	鼓楼区	县区		
苏		320111	浦口区	县区		
苏		320113	栖霞区	县区		
苏		320114	雨花台区	县区		
苏		320115	江宁区	县区		
苏		320116	六合区	县区		
苏		320117	溧水区	县区		
苏		320118	高淳区	县区		
苏	无锡市	320200	无锡市	地市级		
苏		320205	锡山区	县区		
苏		320206	惠山区	县区		
苏		320211	滨湖区	县区		
苏		320213	梁溪区	县区		
苏		320214	新吴区	县区		
苏		320281	江阴市	县区		
苏		320282	宜兴市	县区		
苏	徐州市	320300	徐州市	地市级		
苏		320302	鼓楼区	县区		
苏		320303	云龙区	县区		
苏		320305	贾汪区	县区		
苏		320311	泉山区	县区		
苏		320312	铜山区	县区		
苏		320321	丰县	县区		
苏		320322	沛县	县区		
苏		320324	睢宁县	县区		
苏		320381	新沂市	县区		
苏		320382	邳州市	县区		
苏	常州市	320400	常州市	地市级		
苏		320402	天宁区	县区		
苏		320404	钟楼区	县区		
苏		320411	新北区	县区		
苏		320412	武进区	县区		
苏		320413	金坛区	县区		
苏		320481	溧阳市	县区		
苏	苏州市	320500	苏州市	地市级		
苏		320505	虎丘区	县区		
苏		320506	吴中区	县区		
苏		320507	相城区	县区		
苏		320508	姑苏区	县区		
苏		320509	吴江区	县区		
苏		320581	常熟市	县区		
苏		320582	张家港市	县区		
苏		320583	昆山市	县区		
苏		320585	太仓市	县区		
苏	南通市	320600	南通市	地市级		
苏		320612	通州区	县区	√	
苏		320613	崇川区	县区		
苏		320614	海门区	县区		
苏		320623	如东县	县区		
苏		320681	启东市	县区		
苏		320682	如皋市	县区		
苏		320685	海安市	县区		
苏	连云港市	320700	连云港市	地市级		
苏		320703	连云区	县区		
苏		320706	海州区	县区		
苏		320707	赣榆区	县区		
